timestamp,value
4 AUG,46.96862025688401
5 AUG,25.827544901424076
6 AUG,38.53025046556425
7 AUG,27.66106129628919
8 AUG,17.267837695450947
9 AUG,51.99181107322185
10 AUG,43.27511820996397
11 AUG,69.36335455320189
12 AUG,42.90656510157777
13 AUG,39.92325889466855
14 AUG,22.528163251885285
15 AUG,44.52056086470795
16 AUG,29.508543400222337
17 AUG,29.913942104628894
18 AUG,26.020978383675423
19 AUG,25.321762389779256
20 AUG,21.732162028841145
21 AUG,38.09673759789887
22 AUG,30.624236848135773
23 AUG,48.64623330628657
24 AUG,34.405397029387935
25 AUG,23.297800827119328
26 AUG,28.071994393293775
27 AUG,24.34113108873145
28 AUG,33.31991669314804
29 AUG,17.10974041850711
30 AUG,19.994629231470103
31 AUG,25.741514980503283
1 SEP,29.216536995615744
2 SEP,34.24662900066411
